record_id,hospital_name,area,ward,hospital_type,department,total_beds,available_beds,total_icu,available_icu,total_ventilators,available_ventilators,occupancy_percent,distance_km,wait_time_mins,rating,consultation_fee_inr,emergency_status,accepts_pmjay,accepts_abha,accepts_private_insurance,accepts_no_insurance,ai_match_score,city,state
1,City General Hospital,Shivajinagar,Ward 1,Multi-Specialty,Cardiology,200,117,20,12,25,7,41.5,8.2,64,3.8,655,Active,True,False,True,True,73.2,Pune,Maharashtra
2,City General Hospital,Shivajinagar,Ward 1,Multi-Specialty,Neurology,200,28,20,5,25,9,86.0,9.9,71,4.0,683,Closed,True,True,True,False,50,Pune,Maharashtra
3,City General Hospital,Shivajinagar,Ward 1,Multi-Specialty,Endocrinology,200,102,20,8,25,0,49.0,1.7,108,3.8,575,Active,False,True,True,False,53.2,Pune,Maharashtra
4,City General Hospital,Shivajinagar,Ward 1,Multi-Specialty,ENT,200,102,20,12,25,6,49.0,4.1,68,4.3,582,Closed,True,True,True,True,64.9,Pune,Maharashtra
5,City General Hospital,Shivajinagar,Ward 1,Multi-Specialty,Gynecology,200,86,20,12,25,1,57.0,0.8,21,4.8,467,Active,False,True,True,True,50,Pune,Maharashtra
6,City General Hospital,Shivajinagar,Ward 1,Multi-Specialty,Gynecology,200,55,20,11,25,12,72.5,5.8,104,4.8,1484,Limited,True,True,False,False,50,Pune,Maharashtra
7,City General Hospital,Shivajinagar,Ward 1,Multi-Specialty,Cardiology,200,55,20,0,25,14,72.5,0.9,42,4.3,378,Active,True,True,True,False,50,Pune,Maharashtra
8,City General Hospital,Shivajinagar,Ward 1,Multi-Specialty,Oncology,200,73,20,5,25,14,63.5,1.5,59,4.1,821,Limited,False,True,True,True,50,Pune,Maharashtra
9,City General Hospital,Shivajinagar,Ward 1,Multi-Specialty,Pediatrics,200,28,20,10,25,6,86.0,8.2,43,4.6,370,Limited,True,True,True,False,50,Pune,Maharashtra
10,Pune Medical Center,Kothrud,Ward 2,Multi-Specialty,Oncology,250,77,30,10,40,6,69.2,0.8,38,4.9,1023,Active,True,False,True,True,50,Pune,Maharashtra
11,Pune Medical Center,Kothrud,Ward 2,Multi-Specialty,Pulmonology,250,39,30,4,40,20,84.4,4.1,72,3.8,1035,Active,False,True,True,False,50,Pune,Maharashtra
12,Pune Medical Center,Kothrud,Ward 2,Multi-Specialty,Ophthalmology,250,51,30,6,40,0,79.6,6.3,46,4.5,667,Active,True,True,True,True,50,Pune,Maharashtra
13,Pune Medical Center,Kothrud,Ward 2,Multi-Specialty,Dermatology,250,38,30,10,40,12,84.8,11.5,20,4.4,396,Active,False,False,True,True,50,Pune,Maharashtra
14,Pune Medical Center,Kothrud,Ward 2,Multi-Specialty,Endocrinology,250,50,30,6,40,1,80.0,0.7,63,4.7,926,Active,True,False,True,True,50,Pune,Maharashtra
15,Pune Medical Center,Kothrud,Ward 2,Multi-Specialty,ENT,250,52,30,7,40,22,79.2,2.4,110,4.0,1268,Active,True,False,True,True,50,Pune,Maharashtra
16,Pune Medical Center,Kothrud,Ward 2,Multi-Specialty,Urology,250,87,30,15,40,3,65.2,3.1,109,3.8,491,Closed,True,True,False,False,50,Pune,Maharashtra
17,Pune Medical Center,Kothrud,Ward 2,Multi-Specialty,Gastroenterology,250,64,30,7,40,8,74.4,5.8,18,4.7,606,Active,True,True,True,True,50,Pune,Maharashtra
18,Pune Medical Center,Kothrud,Ward 2,Multi-Specialty,General Medicine,250,30,30,11,40,6,88.0,1.9,28,4.6,1497,Active,True,True,True,True,50,Pune,Maharashtra
19,Aundh District Hospital,Aundh,Ward 3,Government,Dermatology,150,50,15,6,20,0,66.7,7.7,84,4.1,0,Closed,False,True,True,False,50,Pune,Maharashtra
20,Aundh District Hospital,Aundh,Ward 3,Government,Orthopedics,150,42,15,6,20,5,72.0,9.9,33,3.5,0,Limited,False,True,True,True,50,Pune,Maharashtra
21,Aundh District Hospital,Aundh,Ward 3,Government,Urology,150,33,15,0,20,2,78.0,10.9,92,3.9,50,Active,True,True,True,False,50,Pune,Maharashtra
22,Aundh District Hospital,Aundh,Ward 3,Government,Dermatology,150,70,15,2,20,9,53.3,2.7,33,4.0,0,Active,True,False,True,True,52.1,Pune,Maharashtra
23,Aundh District Hospital,Aundh,Ward 3,Government,Gastroenterology,150,88,15,0,20,9,41.3,0.8,87,3.4,100,Active,True,False,True,True,72.2,Pune,Maharashtra
24,Aundh District Hospital,Aundh,Ward 3,Government,Cardiology,150,19,15,1,20,9,87.3,4.7,99,4.1,100,Active,False,True,True,True,50,Pune,Maharashtra
25,Sahyadri Hospital Deccan,Deccan,Ward 4,Multi-Specialty,Gynecology,300,36,40,19,50,15,88.0,8.2,24,4.7,824,Active,True,True,True,False,50,Pune,Maharashtra
26,Sahyadri Hospital Deccan,Deccan,Ward 4,Multi-Specialty,Neurology,300,45,40,21,50,0,85.0,10.4,93,4.7,346,Active,False,True,True,True,50,Pune,Maharashtra
27,Sahyadri Hospital Deccan,Deccan,Ward 4,Multi-Specialty,General Medicine,300,52,40,0,50,23,82.7,3.0,42,4.0,513,Limited,True,True,True,True,50,Pune,Maharashtra
28,Sahyadri Hospital Deccan,Deccan,Ward 4,Multi-Specialty,Gastroenterology,300,129,40,9,50,19,57.0,0.9,111,5.0,1001,Active,True,True,True,True,61.1,Pune,Maharashtra
29,Sahyadri Hospital Deccan,Deccan,Ward 4,Multi-Specialty,Dermatology,300,140,40,16,50,10,53.3,5.9,84,4.3,1054,Limited,False,False,True,True,50,Pune,Maharashtra
30,Sahyadri Hospital Deccan,Deccan,Ward 4,Multi-Specialty,ENT,300,148,40,13,50,18,50.7,3.8,103,4.5,740,Active,True,True,True,True,67.5,Pune,Maharashtra
31,Sahyadri Hospital Deccan,Deccan,Ward 4,Multi-Specialty,Oncology,300,142,40,11,50,30,52.7,6.3,117,4.0,932,Limited,True,False,True,True,60.8,Pune,Maharashtra
32,KEM Hospital Pimpri,Pimpri,Ward 5,Government,Pulmonology,120,35,12,3,15,6,70.8,5.1,117,3.3,0,Active,False,True,True,True,50,Pune,Maharashtra
33,KEM Hospital Pimpri,Pimpri,Ward 5,Government,Urology,120,58,12,7,15,4,51.7,8.4,112,3.8,100,Closed,True,True,False,False,67.3,Pune,Maharashtra
34,KEM Hospital Pimpri,Pimpri,Ward 5,Government,Ophthalmology,120,13,12,0,15,9,89.2,3.0,82,3.7,100,Active,False,True,True,True,50,Pune,Maharashtra
35,KEM Hospital Pimpri,Pimpri,Ward 5,Government,Nephrology,120,49,12,2,15,5,59.2,8.7,59,4.1,0,Active,True,True,True,False,54.4,Pune,Maharashtra
36,KEM Hospital Pimpri,Pimpri,Ward 5,Government,General Medicine,120,39,12,0,15,0,67.5,9.4,54,4.2,100,Closed,False,True,True,False,50,Pune,Maharashtra
37,KEM Hospital Pimpri,Pimpri,Ward 5,Government,Nephrology,120,31,12,2,15,7,74.2,6.9,49,3.9,100,Limited,True,True,True,True,50,Pune,Maharashtra
38,KEM Hospital Pimpri,Pimpri,Ward 5,Government,Gynecology,120,57,12,5,15,3,52.5,2.3,17,3.5,0,Closed,True,True,True,True,62.4,Pune,Maharashtra
39,Ruby Hall Clinic,Wanowrie,Ward 6,Multi-Specialty,Neurology,350,75,50,1,60,27,78.6,6.5,97,4.3,446,Active,True,True,True,True,50,Pune,Maharashtra
40,Ruby Hall Clinic,Wanowrie,Ward 6,Multi-Specialty,Urology,350,91,50,12,60,12,74.0,3.0,46,4.8,1095,Active,True,True,True,False,50,Pune,Maharashtra
41,Ruby Hall Clinic,Wanowrie,Ward 6,Multi-Specialty,General Medicine,350,90,50,9,60,10,74.3,6.0,71,4.4,1405,Active,True,True,True,True,50,Pune,Maharashtra
42,Ruby Hall Clinic,Wanowrie,Ward 6,Multi-Specialty,Cardiology,350,39,50,7,60,15,88.9,6.1,50,4.0,1377,Limited,False,True,True,False,50,Pune,Maharashtra
43,Ruby Hall Clinic,Wanowrie,Ward 6,Multi-Specialty,Pediatrics,350,152,50,17,60,32,56.6,5.8,28,4.5,1127,Active,True,True,True,True,55.6,Pune,Maharashtra
44,Ruby Hall Clinic,Wanowrie,Ward 6,Multi-Specialty,Nephrology,350,108,50,25,60,26,69.1,3.0,52,4.3,929,Active,False,False,True,True,50,Pune,Maharashtra
45,Ruby Hall Clinic,Wanowrie,Ward 6,Multi-Specialty,Pulmonology,350,174,50,10,60,18,50.3,9.9,42,4.0,538,Active,True,True,True,False,65.3,Pune,Maharashtra
46,Ruby Hall Clinic,Wanowrie,Ward 6,Multi-Specialty,Orthopedics,350,126,50,21,60,20,64.0,11.6,116,4.3,1170,Active,False,True,True,True,50,Pune,Maharashtra
47,Jehangir Hospital,Sassoon Road,Ward 7,Multi-Specialty,Ophthalmology,280,148,35,15,45,1,47.1,10.7,85,4.0,451,Limited,True,False,True,True,60.4,Pune,Maharashtra
48,Jehangir Hospital,Sassoon Road,Ward 7,Multi-Specialty,Ophthalmology,280,50,35,1,45,11,82.1,9.6,64,4.0,439,Active,False,True,True,True,50,Pune,Maharashtra
49,Jehangir Hospital,Sassoon Road,Ward 7,Multi-Specialty,ENT,280,147,35,15,45,17,47.5,0.6,59,4.2,1005,Limited,False,False,True,True,50.2,Pune,Maharashtra
50,Jehangir Hospital,Sassoon Road,Ward 7,Multi-Specialty,General Medicine,280,143,35,2,45,6,48.9,9.4,92,4.2,452,Active,True,True,True,True,62.4,Pune,Maharashtra
51,Jehangir Hospital,Sassoon Road,Ward 7,Multi-Specialty,Endocrinology,280,101,35,8,45,2,63.9,8.3,98,4.1,1009,Active,True,False,True,True,50,Pune,Maharashtra
52,Jehangir Hospital,Sassoon Road,Ward 7,Multi-Specialty,General Medicine,280,107,35,13,45,3,61.8,11.8,84,4.2,1053,Active,True,False,True,True,51.3,Pune,Maharashtra
